"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig"
"MAN1A1",-0.622975092567117,9.48186296043334,-4.85606909562684,5.27813608743549e-06,6.46838316034762e-05,3.74815501332919,"Not Sig"
"SECISBP2L",-0.439209900693608,7.87082288384283,-4.8554744354284,5.2905879865595e-06,6.48010392087383e-05,3.74591622203971,"Not Sig"
"TMEM220",-1.25002948284485,8.11474535857083,-4.85323224025453,5.33779630331981e-06,6.53277194940959e-05,3.73747613416174,"Down"
"SRRT",0.22395290587933,7.94091175632219,4.85315590341395,5.33941073809759e-06,6.53277194940959e-05,3.73718882496227,"Not Sig"
"TRMT1",0.4022495589343,7.22683289192126,4.85174204158679,5.36939837222388e-06,6.56217268871128e-05,3.73186792750381,"Not Sig"
"ADAMTSL1",-0.218875107095591,4.5851052127413,-4.85170935053248,5.37009367723972e-06,6.56217268871128e-05,3.73174490898204,"Not Sig"
"TMSB10",0.242858478993861,14.2901883797133,4.85160968016049,5.37221410453345e-06,6.56217268871128e-05,3.73136984588973,"Not Sig"
"CYP27A1",-0.59368262776337,8.34875010911735,-4.85104737893664,5.38419201010693e-06,6.57322549046732e-05,3.72925396779362,"Not Sig"
"SEC13",0.300829067591577,11.3750305710754,4.85078421407836,5.38980676846279e-06,6.57650212493402e-05,3.72826375448218,"Not Sig"
"ING3",-0.261605301475585,6.97773190149488,-4.84973208151586,5.41231158554569e-06,6.60037280804672e-05,3.72430518514621,"Not Sig"
"SEM1",0.322651837951351,10.7773371804979,4.84918315534599,5.42408925998182e-06,6.61011605519251e-05,3.72224008335701,"Not Sig"
"CPSF4",0.308719931059363,8.88095053234448,4.8490852422992,5.42619268847302e-06,6.61011605519251e-05,3.72187174086744,"Not Sig"
"NUDCP2",0.340843519502956,10.1750803218403,4.84874856729874,5.43343141201026e-06,6.61534278101456e-05,3.72060522338476,"Not Sig"
"CSF2",0.498308913569921,5.67131328948498,4.84753254854822,5.45965498325125e-06,6.64052774908342e-05,3.7160311669914,"Not Sig"
"NPHP4",0.223782567517733,6.0070197754499,4.84751494462782,5.46003551720616e-06,6.64052774908342e-05,3.7159649545526,"Not Sig"
"SLC10A2",-0.762798772562784,4.23200740838386,-4.84678613687918,5.47581243014342e-06,6.65610807800586e-05,3.71322385773985,"Not Sig"
"TUBA1B",0.261316120457096,13.6290500345443,4.84588359575154,5.49541178518791e-06,6.67631537887555e-05,3.70982965870632,"Not Sig"
"HACD4",-0.460883681194718,5.89325551644544,-4.84555331895397,5.50260105207983e-06,6.68143208915689e-05,3.70858767096765,"Not Sig"
"WDFY3-AS2",-0.414038523163517,4.28490344259861,-4.8439938836613,5.53666979962141e-06,6.71544317477931e-05,3.70272414339862,"Not Sig"
"PSMA3",0.171326969171427,6.86601827047283,4.84386415069835,5.53951329271271e-06,6.71544317477931e-05,3.7022363910612,"Not Sig"
"MAD2L1P1",0.996453222618065,8.87714395478086,4.84375259296858,5.54195955731452e-06,6.71544317477931e-05,3.7018169773688,"Not Sig"
"ITIH5",-1.05021953826687,7.832446852212,-4.84372419466534,5.54258245006074e-06,6.71544317477931e-05,3.70171021165712,"Down"
"TCHP",0.251768472111817,6.93206978300057,4.84025914243866,5.61909927444536e-06,6.80447752937288e-05,3.68868571237457,"Not Sig"
"TIMM17A",0.287949423414659,9.05117150444664,4.83962734012671,5.6331614532201e-06,6.8178268526864e-05,3.68631144837206,"Not Sig"
"CXCL8",2.52086524994747,9.21479195902903,4.83926563793651,5.64122736515228e-06,6.82390840143677e-05,3.68495227821233,"Up"
"TIMM23",0.236815090960295,10.0530405519285,4.83810625321566,5.66715735954456e-06,6.85158103398817e-05,3.68059603802665,"Not Sig"
"CORO1C",0.427973941000774,10.4809476803616,4.83776697357995,5.67476737703544e-06,6.85708697756048e-05,3.67932134930094,"Not Sig"
"CBX7",-0.851565866596247,8.48735630703997,-4.83573140346377,5.72063442948062e-06,6.90157772954739e-05,3.67167467944333,"Not Sig"
"UGT2B11",-0.856650192572618,6.53784704937229,-4.83545168381018,5.72696543180054e-06,6.90157772954739e-05,3.67062404736093,"Not Sig"
"UGT2B24P",-0.856650192572618,6.53784704937229,-4.83545168381018,5.72696543180054e-06,6.90157772954739e-05,3.67062404736093,"Not Sig"
"UGT2B25P",-0.856650192572618,6.53784704937229,-4.83545168381018,5.72696543180054e-06,6.90157772954739e-05,3.67062404736093,"Not Sig"
"UGT2B28",-0.856650192572618,6.53784704937229,-4.83545168381018,5.72696543180054e-06,6.90157772954739e-05,3.67062404736093,"Not Sig"
"SYT5",-0.373322061195104,6.01063365298105,-4.83425416768528,5.75414647815555e-06,6.93061153104306e-05,3.66612654250822,"Not Sig"
"CMBL",-0.605771245204108,8.5372969243488,-4.83375117643177,5.76560072147546e-06,6.94068211315386e-05,3.66423764832019,"Not Sig"
"MPPE1",-0.354812756501126,8.50883973312688,-4.83197225105627,5.80628922498026e-06,6.98591549165319e-05,3.65755809998136,"Not Sig"
"UBR4",0.245508812277667,5.62789945273772,4.83117539415604,5.82460588283592e-06,7.00419782448849e-05,3.65456649398657,"Not Sig"
"FOXM1",0.951047527296554,7.54995375895229,4.83030342946456,5.84471343830518e-06,7.02461300707713e-05,3.65129323309957,"Not Sig"
"FGFRL1",0.223876562571327,5.9548426839736,4.82989109608504,5.85424538855044e-06,7.03230258424429e-05,3.64974549446362,"Not Sig"
"HNRNPF",0.372049957315552,9.99381417597442,4.82945443871519,5.8643561385629e-06,7.04067883323772e-05,3.648106534387,"Not Sig"
"PELO",0.285340605299217,6.28323610648231,4.82852287884657,5.88598315164388e-06,7.06286502351535e-05,3.64461027526904,"Not Sig"
"HMGCL",-0.520726648885793,9.62092770373616,-4.82831979208999,5.89070829492437e-06,7.06475699785184e-05,3.6438481161879,"Not Sig"
"SNX33",-0.287745149550319,7.42834919885702,-4.8263433639164,5.93688637617832e-06,7.11529113658153e-05,3.63643177529851,"Not Sig"
"FIGNL1",0.638961618814221,7.37513551615876,4.82624531549914,5.9391863714146e-06,7.11529113658153e-05,3.63606390349069,"Not Sig"
"CFAP263",0.786666711576755,5.34931840868223,4.82592981515106,5.94659318760711e-06,7.12036310227941e-05,3.63488019368119,"Not Sig"
"AKIP1",0.287273948655484,8.24374643493899,4.82495204951494,5.96960477936497e-06,7.14410462102243e-05,3.63121204201976,"Not Sig"
"TUBA3D",0.2424461154568,7.41641325746752,4.82454379177631,5.97923870791268e-06,7.14800944948603e-05,3.6296805607825,"Not Sig"
"TUBA3E",0.2424461154568,7.41641325746752,4.82454379177631,5.97923870791268e-06,7.14800944948603e-05,3.6296805607825,"Not Sig"
"KRT20",-1.3208469017163,13.4882948497259,-4.82399108634244,5.99230538321962e-06,7.1598157877564e-05,3.62760733530939,"Down"
"MTARC2",-0.479809610840086,7.66397153173902,-4.8236726052443,5.99984730999467e-06,7.16501191000375e-05,3.62641275791774,"Not Sig"
"MME",1.21523412655704,6.170259497652,4.82174562142737,6.04567755453911e-06,7.21512395541186e-05,3.6191858666117,"Up"
"DPP10-AS1",-1.20315627831601,6.29664982860162,-4.82163825550088,6.04824108031985e-06,7.21512395541186e-05,3.6187832533158,"Down"
"SFRP1",-1.18409817284052,6.2989808739618,-4.82035278072008,6.07901605326395e-06,7.24573065012869e-05,3.61396322374718,"Down"
"SPP1",2.31409273362715,8.32647508263715,4.82029695524622,6.08035599366831e-06,7.24573065012869e-05,3.61375391645,"Up"
"UBE2N",0.232798054843842,10.7013449657987,4.82003020524148,6.08676258037166e-06,7.24589772098352e-05,3.61275380554489,"Not Sig"
"TMEM238L",-0.973138904166277,10.1353201644361,-4.82002221850432,6.08695450067023e-06,7.24589772098352e-05,3.61272386179997,"Not Sig"
