"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig"
"CFAP96",0.0214595578636745,3.82160859998027,0.593463173347304,0.554420965833939,0.672394987155321,-6.53854421192101,"Not Sig"
"VHL",-0.0303935067316194,5.56711646282129,-0.593384274812858,0.554473513895205,0.672422373576961,-6.53859069745581,"Not Sig"
"HMGB1P5",0.0296835400722095,12.9126656318649,0.593295765370032,0.55453246597074,0.672457522909502,-6.53864283826226,"Not Sig"
"ZNF776",0.0542299937329425,8.548283496042,0.593117187198821,0.55465141818457,0.672565424082333,-6.53874801496565,"Not Sig"
"CILP",-0.143509471665526,7.23847955683061,-0.593014537501423,0.554719799637436,0.672611995248267,-6.53880845806783,"Not Sig"
"LINC01936",0.0208160250314897,4.55132146746413,0.592636738852154,0.554971511319998,0.67288084197922,-6.5390308274404,"Not Sig"
"C2orf76",0.0509121125725276,7.58798826532428,0.592513937707699,0.555053340895449,0.672943695502106,-6.53910307698035,"Not Sig"
"RPL23AP87",-0.0348029112299315,5.49411048809981,-0.592085597473043,0.555338815963029,0.673184010161205,-6.53935497293243,"Not Sig"
"CCL1",-0.0250238900604041,4.50371450873717,-0.592078439808404,0.555343586937398,0.673184010161205,-6.53935918063744,"Not Sig"
"NUP50",0.034450111504098,7.70093565749835,0.592068547104821,0.55535018099812,0.673184010161205,-6.53936499607948,"Not Sig"
"ARG1",0.0911831726029102,4.02495132566472,0.592036476365226,0.55537155827373,0.673184010161205,-6.53938384825376,"Not Sig"
"KHDC3L",0.0349968787711941,5.16360640943573,0.591866854381732,0.555484629379681,0.673284697166892,-6.53948354046593,"Not Sig"
"FKBP9",0.0472265919513237,10.0716142981576,0.591786891561217,0.555537937077348,0.673302611105852,-6.53953052732174,"Not Sig"
"NAPSA",-0.0302504826621925,6.08047004662519,-0.591754666455103,0.555559420857652,0.673302611105852,-6.53954946129714,"Not Sig"
"LRRC2",-0.0736373444564409,4.99579076802855,-0.591532233630552,0.555707723260613,0.673445971173304,-6.53968012460199,"Not Sig"
"PTDSS2",0.0319142770039225,7.59149489212427,0.591284544757276,0.555872887737928,0.673609749308817,-6.53982556668668,"Not Sig"
"NUP85",-0.0449292155976835,8.91742392238221,-0.591135961582368,0.555971978016045,0.67369344501037,-6.53991278524295,"Not Sig"
"ASCL3",-0.0387672619286468,4.68299429435054,-0.591087781154175,0.556004111477926,0.673696001806424,-6.53994106256184,"Not Sig"
"LINC00922",0.0393712448350634,4.59305749887872,0.590909921523593,0.556122741189807,0.673803357967498,-6.54004542941613,"Not Sig"
