"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig"
"SYCP3",-0.289822247670144,3.38645361943513,-6.91487177470224,7.6493023895882e-10,1.02718549563118e-08,11.9561928510162,"Not Sig"
"CHKB-CPT1B",0.733824656042665,7.30331292494528,6.91268953245929,7.72545791343607e-10,1.03679156770091e-08,11.9464577146679,"Not Sig"
"CPLX1",1.01691190026942,4.75272670045451,6.90919263785562,7.8490632005476e-10,1.05275032371242e-08,11.930859624446,"Up"
"HCP5",0.597362481105262,8.15381094008143,6.90720461447103,7.92020679170387e-10,1.06165782675653e-08,11.921992928466,"Not Sig"
"SNORA20",-0.532843491290221,11.5338824349753,-6.90671027123916,7.93799648398848e-10,1.06340718271175e-08,11.9197882415798,"Not Sig"
"CREBL2",-0.504720052406924,9.41140125841648,-6.90556480677217,7.97937023997836e-10,1.06831198576894e-08,11.914679835625,"Not Sig"
"STOM",1.33534053991243,10.6123133931084,6.90512590137078,7.99527996570345e-10,1.06980373971628e-08,11.912722520976,"Up"
"NSMAF",-0.341687521303755,6.79405480766692,-6.90413967622414,8.03114417467783e-10,1.07396212238138e-08,11.9083245420963,"Not Sig"
"LINC01700",-0.329008061498445,5.64773218603165,-6.89827467108476,8.24774621804515e-10,1.102270264364e-08,11.8821737683791,"Not Sig"
"ZNF532",1.077437141632,7.57732706800992,6.89774078576034,8.26774868488058e-10,1.10428579011926e-08,11.879793602965,"Up"
"ADH6",-1.31887376091674,6.72133769962121,-6.89744395482477,8.27889051380393e-10,1.10511614657493e-08,11.8784702950516,"Down"
"PLPP3",-0.935002392429366,9.10481666121981,-6.89656535029704,8.31195712466111e-10,1.10887042758782e-08,11.8745534652614,"Not Sig"
"TMCO2",0.268773469845094,4.8304974316304,6.89429572010561,8.3979830506091e-10,1.11968117452536e-08,11.8644360807456,"Not Sig"
"NELFE",-0.355501392257116,9.93878602381501,-6.89187834501385,8.49058033702684e-10,1.13135470417188e-08,11.8536611296802,"Not Sig"
"MAOA",-1.48560899941739,10.2138000350848,-6.89052081349885,8.54302373793704e-10,1.13766711961762e-08,11.8476106835053,"Down"
"LMNB1",0.945661648905311,9.49708047419505,6.88980451155312,8.57082487947585e-10,1.14069240492621e-08,11.8444183001641,"Not Sig"
"PTPN21",-0.643752689613557,6.21242329629355,-6.8885282746421,8.6205807984544e-10,1.14663433631605e-08,11.8387306569449,"Not Sig"
"SDK1",0.975651384772847,5.40363163012821,6.88748250326004,8.66156517371873e-10,1.15140320457983e-08,11.8340703237193,"Not Sig"
"SERPINI1",1.53699572840131,6.6252305683995,6.88415926275773,8.7930920844973e-10,1.1681953421198e-08,11.8192621071263,"Up"
"RBSN",-0.181639485853288,6.57512134192489,-6.88389031098225,8.80382287853892e-10,1.16892888503867e-08,11.8180637586904,"Not Sig"
"FNTB",-0.495219652288803,6.85001120106471,-6.88311760825772,8.83472493881154e-10,1.17227996289973e-08,11.8146209588813,"Not Sig"
"PPP6C",-0.383757632638671,9.48749085856675,-6.8829981926838,8.83951021536767e-10,1.17227996289973e-08,11.8140889091,"Not Sig"
"VCX",-0.379121679867655,5.45557794068351,-6.88116272297278,8.91338627114544e-10,1.17998510052055e-08,11.805911402183,"Not Sig"
"VCX2",-0.379121679867655,5.45557794068351,-6.88116272297278,8.91338627114544e-10,1.17998510052055e-08,11.805911402183,"Not Sig"
"VCX3A",-0.379121679867655,5.45557794068351,-6.88116272297278,8.91338627114544e-10,1.17998510052055e-08,11.805911402183,"Not Sig"
"PLIN3",0.673506735877327,10.8170439501304,6.87833494057039,9.02840222158729e-10,1.19450658873937e-08,11.7933140967821,"Not Sig"
"H2BC4",1.59772313842654,5.83827388518419,6.87809136457211,9.03837790844874e-10,1.1951217553782e-08,11.7922290750092,"Up"
"PRR16",1.10671534980183,6.17791033855994,6.87718651375969,9.07553202457591e-10,1.1993278156623e-08,11.7881984669063,"Up"
"MAGI3",-0.678585213812752,6.63548178934028,-6.8770404555393,9.08154350984315e-10,1.199415861197e-08,11.7875478728272,"Not Sig"
"LINC01409",-0.498082081495802,4.18379665252032,-6.87538764044585,9.14984613862005e-10,1.20701585834506e-08,11.780185935486,"Not Sig"
"SEPTIN7P13",-0.498082081495802,4.18379665252032,-6.87538764044585,9.14984613862005e-10,1.20701585834506e-08,11.780185935486,"Not Sig"
"TRAPPC11",-0.490984717016819,8.07405054194581,-6.87162363294507,9.30730106130572e-10,1.22706538492737e-08,11.7634222570035,"Not Sig"
"RERE",-0.324519720658847,5.53391493341189,-6.87136871408602,9.31806139954609e-10,1.22776265263896e-08,11.7622870255705,"Not Sig"
"ARHGEF3",0.925245523138415,9.24270556225202,6.87112135199835,9.32851455477748e-10,1.22841865079021e-08,11.7611854582945,"Not Sig"
"PPARGC1A",-0.748755101790048,5.45841724311175,-6.86980107802388,9.38450438663101e-10,1.23506682657838e-08,11.7553061296849,"Not Sig"
"NVL",-0.68925358134053,8.14665190823267,-6.86918061492018,9.41093181634046e-10,1.23781886885618e-08,11.7525432496672,"Not Sig"
"FMN1",-0.450081491299061,5.32322784154583,-6.86882518580596,9.42610387143979e-10,1.23908813574246e-08,11.7509605802673,"Not Sig"
"COL5A2",1.54671550176567,9.50271342915105,6.86776693051502,9.47142096429582e-10,1.24431624717701e-08,11.7462484768049,"Up"
"MTMR11",-1.1453924221462,8.96759806703188,-6.86685010207077,9.51085645722486e-10,1.2487659920636e-08,11.7421662746844,"Down"
"DCAF6",-0.393482885346767,9.14973183111048,-6.86618296560156,9.53965427916023e-10,1.25181463374314e-08,11.7391959309533,"Not Sig"
"PEX19",-0.469679297840635,8.29013069413294,-6.86178386942812,9.73172422660186e-10,1.27627212110298e-08,11.7196115713108,"Not Sig"
"CHRNA6",-0.28239385808202,4.74932094058028,-6.86138489399276,9.74933251463252e-10,1.27783453443831e-08,11.7178355492381,"Not Sig"
"ALPI",-0.644928204336565,5.60448485308375,-6.85701764880425,9.9441535284723e-10,1.30260864579912e-08,11.6983968916795,"Not Sig"
"ACTR1A",-0.353345454618239,8.73494247417442,-6.8540976510517,1.00765621213696e-09,1.31918306558583e-08,11.6854019425137,"Not Sig"
"MTMR8",-0.285676375558068,4.89319028596564,-6.85277268982003,1.01372183121218e-09,1.32635009740934e-08,11.6795059576586,"Not Sig"
"NYX",-0.285149688566665,5.2551612733759,-6.85258145871144,1.01460026446057e-09,1.32672583532813e-08,11.6786550198282,"Not Sig"
"SLC7A5",1.54281252810379,7.88082579374064,6.85135616297914,1.02024668601258e-09,1.33281995411165e-08,11.6732028770935,"Up"
"RPS27L",0.637338675122013,10.8403886161537,6.8513124649657,1.02044863013673e-09,1.33281995411165e-08,11.6730084412418,"Not Sig"
"HAPLN2",-0.392864760468172,4.94844696020246,-6.85114008407324,1.02124565048222e-09,1.3330850000681e-08,11.6722414298846,"Not Sig"
"ZBTB6",-0.744759233500877,5.84866531818654,-6.84993093356452,1.02685365780558e-09,1.33962611787787e-08,11.6668614537442,"Not Sig"
"AHDC1",0.273094056550045,5.28660381103681,6.84961646421379,1.02831715529281e-09,1.3407558772583e-08,11.6654623036106,"Not Sig"
"URI1",-0.384136290933948,7.31509210021404,-6.84880747104959,1.03209161121254e-09,1.34489568315901e-08,11.6618629830784,"Not Sig"
"LINC01687",-0.347483723436352,3.78828154484827,-6.84860239471436,1.0330506005373e-09,1.34536404094349e-08,11.6609505901723,"Not Sig"
"COQ9",-0.587730814504662,8.30087526477693,-6.84428216713313,1.05345972996432e-09,1.37114749887874e-08,11.6417315655695,"Not Sig"
"FCRL5",1.499519195651,5.94696417016883,6.84096172107208,1.06941710407913e-09,1.39111016802503e-08,11.626962577613,"Up"
"B3GAT3P1",0.284727540784571,6.58728301758134,6.84043031168787,1.07199310225504e-09,1.39365314145428e-08,11.6245991191684,"Not Sig"
"RHBDD2",-0.45053695185183,8.04716470193637,-6.84010072027026,1.07359388177473e-09,1.39492606329723e-08,11.623133278754,"Not Sig"
"CDK2AP1",0.555605923080364,11.9135367266837,6.83756012458125,1.08601301805633e-09,1.41024572408368e-08,11.6118348039985,"Not Sig"
"BHLHA15",1.45089788236997,7.87051812700842,6.83602732341735,1.09357456597262e-09,1.41924347517985e-08,11.6050187598861,"Up"
"RNF38",-0.346490738251268,7.80205521905915,-6.83492754636673,1.09903208225318e-09,1.4255017857618e-08,11.6001285574401,"Not Sig"
"CRNKL1",-0.486792148380298,8.92513720277435,-6.83431167614783,1.10210005440093e-09,1.42865529293486e-08,11.5973901662615,"Not Sig"
"SLC39A13",0.343793922600267,7.2828394829065,6.83394094941257,1.10395093143591e-09,1.43022834587127e-08,11.595741810155,"Not Sig"
"BTN3A1",0.734733980885385,8.30660558232054,6.83374653099271,1.10492280957904e-09,1.43066144974864e-08,11.5948773812073,"Not Sig"
"CPXM1",1.64023874552337,6.53728696337298,6.83237325917195,1.11181186047449e-09,1.43875123051828e-08,11.5887717037932,"Up"
"NPTN-IT1",1.06188412442365,6.00111291119198,6.831914577516,1.11412232304841e-09,1.44091013296157e-08,11.5867324479613,"Up"
"GPX7",1.38335191542617,6.82239376507179,6.83012685053136,1.12317295543125e-09,1.45177868357845e-08,11.5787847625369,"Up"
