"external_gene_name","entrezgene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig"
"SLC23A1",9963,-1.24123953688181,6.4732992455573,-5.45508797089414,4.58965128974835e-07,6.12654284893892e-06,6.00369539731994,"Down"
"GHR",2690,-1.23943939661548,6.81609175952075,-3.75482850948362,0.000313816923408786,0.00151663535308416,-0.210877575732852,"Down"
"PDE6A",5145,-1.81896265963339,5.86322831737988,-7.81582678275429,1.2112870459181e-11,1.28207877468662e-09,16.2132012541299,"Down"
"PXMP2",5827,-1.35436469503264,9.55966566613906,-8.09739879235837,3.25993730084938e-12,4.5266951331762e-10,17.4889101864486,"Down"
"LINC02023",101928405,-1.71624388282677,5.34650937326881,-8.4130829821833,7.43968072214993e-13,1.55679116978532e-10,18.9252148318956,"Down"
"VSTM2A",222008,-1.1018765188041,4.97456714888519,-6.09172249140784,3.0076403438068e-08,6.36083333408867e-07,8.63219745868845,"Down"
"MS4A8",83661,-1.26023481700435,7.48742267881984,-4.97622019501028,3.26917911072913e-06,3.16603841457277e-05,4.11896194875376,"Down"
"GXYLT2",727936,-1.68713398354092,6.31039317203446,-9.80162756585173,1.09432892053945e-15,1.16931650704689e-12,25.2646479258394,"Down"
"GSTA1",2938,-1.0402015416444,6.90424709735647,-2.86738845148396,0.00519839979507081,0.0159419014625658,-2.80132924244615,"Down"
"MT1E",4493,-1.07772445445277,12.4251315367234,-4.92176546022493,4.06479497196623e-06,3.79093659085413e-05,3.91046115851046,"Down"
"CA12",771,-1.05188628620565,9.47883317122406,-6.30861686251404,1.15923330175186e-08,3.01065232152893e-07,9.55420866575154,"Down"
"DEPDC7",91614,-2.07502386325849,6.88877711162482,-11.1010916208569,2.58203350289344e-18,9.65637496190433e-15,31.1354523692984,"Down"
"HOXA5",3202,-1.34494573259078,8.30557063815169,-7.08960407135235,3.45193345611286e-10,1.89383703720578e-08,12.9598692292109,"Down"
"NXPE1",120400,-1.13775466165271,8.66537031314757,-3.75228867192423,0.000316561296006903,0.00152792405272078,-0.219030730583388,"Down"
"MEP1A",4224,-1.74796892912742,10.797615594653,-5.32525328341155,7.87896478339672e-07,9.59284268988817e-06,5.48404651242076,"Down"
"CDHR1",92211,-1.56324107381518,6.47804612828116,-6.07273970784044,3.267578401143e-08,6.82692660551655e-07,8.55208444285089,"Down"
"SEMA6A",57556,-1.25714104694673,7.22609274156457,-7.60659673603387,3.19877944086961e-11,2.77132864377117e-09,15.2696537009902,"Down"
"SATB2-AS1",150538,-1.54986555191998,7.06834526129586,-6.74229214513753,1.6702621841901e-09,6.33091438362192e-08,11.4306432037844,"Down"
"BMP5",653,-1.04590375315826,6.44186937203633,-5.24033548293902,1.11840751381809e-06,1.28105902003901e-05,5.14753576773151,"Down"
