"country","region","disease_type","year","epi_stage","incidence_rate"
"Italy","Lazio","CD",2009,3,6.75
"South Korea","Jeju Island","CD",2019,2,1.937438617
"Faroe Islands","Faroe Islands","CD",2015,3,10.19021739
"Norway","South-East Health Region","CD",2018,3,5.717514124
"Taiwan","Taiwan","CD",2020,2,0.7765536515
"Malaysia","Kinta Valley","CD",2022,2,0.9000617145
"New Zealand","Manawatū","CD",2013,3,17.70020787
"Saudi Arabia","Riyadh","CD",2022,2,0.2
"Brunei","Brunei","CD",2022,1,0
"Indonesia","Central Jakarta","CD",2022,2,0.97
"Uruguay","Boca del rosario, Carmelo, Colonia de sacramento, Colonia Miguelete, Colonia Valdense, Conchillas, Florencio Sanchez, Juan Lacaze, La paz, Nueva Helvecia, Nueva Palmira, Ombues de Lavalle, Rosario, Tarariras","CD",2022,2,0.93
"Argentina","Córdoba","CD",2022,2,0.74
"Kazakhstan","Aktobe, Shymkent, Karaganda, Stepnogorsk, Almaty, Semey, Taldykorgan, Nur-Sultan","CD",2022,1,0.09
"Zambia","Lusaka City","CD",2022,1,0
"Macao","Macau","CD",2022,2,1.23
"Nepal","Birtamod, Kathmandu, Pokhara","CD",2022,2,0.34
"Hong Kong","New Territories","CD",2022,2,1.51
"Taiwan","Taipei City","CD",2022,2,0.6
"Thailand","Bangkok, Chiang Mai, Khon Kaen, Songkhla","CD",2022,1,0.25
"Mexico","Tlalpan","CD",2022,2,0.77
"Vietnam","Vietnam","CD",2022,1,0.3
"Israel","Israel","CD",2020,3,17.23751294
"Sweden","Sweden","CD",2020,3,13.85248637
"Catalonia","Catalonia","CD",2020,3,9.563831066
"Italy","Italy","CD",2019,3,11.5
"Italy","Tuscany","CD",2013,3,22.92222222
"New Zealand","Canterbury","CD",2023,3,14.78429874
"Denmark","Copenhagen","CD",2022,3,8.75
