"country","region","disease_type","year","epi_stage","incidence_rate"
"Kazakhstan","Aktobe, Shymkent, Karaganda, Stepnogorsk, Almaty, Semey, Taldykorgan, Nur-Sultan","IBD",2022,1,0.56
"Zambia","Lusaka City","IBD",2022,1,0.14
"Macao","Macau","IBD",2022,2,1.85
"Nepal","Birtamod, Kathmandu, Pokhara","IBD",2022,2,2.72
"Hong Kong","New Territories","IBD",2022,2,2.94
"Taiwan","Taipei City","IBD",2022,2,1.5
"Thailand","Bangkok, Chiang Mai, Khon Kaen, Songkhla","IBD",2022,1,0.56
"Mexico","Tlalpan","IBD",2022,2,3.38
"Vietnam","Vietnam","IBD",2022,1,0.89
"Israel","Israel","IBD",2020,3,29.61108959
"Sweden","Sweden","IBD",2020,3,37.13139663
"Catalonia","Catalonia","IBD",2020,3,29.467988276
"Italy","Italy","IBD",2019,3,31.7
"New Zealand","Canterbury","IBD",2023,3,30.06694463
"Denmark","Copenhagen","IBD",2022,3,23.91666667
