"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig","STRING_id"
"MEP1A",-1.74796892912742,10.797615594653,-5.32525328341155,7.87896478339672e-07,9.59284268988817e-06,5.48404651242076,"Down","9606.ENSP00000230588"
"SGK2",-1.7442458980048,7.87096847152866,-7.72664186665306,1.83328044959165e-11,1.77732723535983e-09,15.810496387023,"Down","9606.ENSP00000340608"
"B4GALNT2",-1.73560766240081,5.49950337641495,-8.32790735577315,1.10890685590877e-12,2.06173239762881e-10,18.5371803510937,"Down","9606.ENSP00000300404"
"SLC22A5",-1.72196762713697,8.83587744678179,-8.04015966463831,4.25881209905766e-12,5.52390084917658e-10,17.2291047368722,"Down","9606.ENSP00000245407"
"ENTPD5",-1.70371497250505,8.13037482820823,-7.91441887599009,7.6549413365118e-12,8.67521356818122e-10,16.6591925917034,"Down","9606.ENSP00000335246"
"GXYLT2",-1.68713398354092,6.31039317203446,-9.80162756585173,1.09432892053945e-15,1.16931650704689e-12,25.2646479258394,"Down","9606.ENSP00000374268"
"NXPE4",-1.67672213699493,9.67007056118934,-4.08798019622696,9.71460098331755e-05,0.000560807644622234,0.891780876332988,"Down","9606.ENSP00000364627"
"CA7",-1.67473729063729,7.40868083745694,-6.93327686033463,7.03593449952475e-10,3.26196971559578e-08,12.2689810175557,"Down","9606.ENSP00000345659"
"UGT1A6",-1.66915082599423,8.66261258680365,-6.81937607455654,1.17915833731692e-09,4.91772701383815e-08,11.7682083479935,"Down","9606.ENSP00000303174"
"UGT1A7",-1.66915082599423,8.66261258680365,-6.81937607455654,1.17915833731692e-09,4.91772701383815e-08,11.7682083479935,"Down","9606.ENSP00000362525"
"VLDLR",-1.66362163538672,6.11532180838241,-5.50346125545935,3.74727113409596e-07,5.15544969886305e-06,6.19884065229365,"Down","9606.ENSP00000371532"
"ISX",-1.65886707062208,8.70449432529074,-4.65795637239403,1.14778657583809e-05,9.27112418114862e-05,2.91885012639303,"Down","9606.ENSP00000311492"
"TUBAL3",-1.65619965368143,8.76579308043727,-5.27830307423939,9.56571377061918e-07,1.12379608009908e-05,5.29765683756382,"Down","9606.ENSP00000369784"
"RHOU",-1.65095647345391,8.50718456048082,-8.79731957131027,1.2252943518831e-13,3.61768157393486e-11,20.6787830266371,"Down","9606.ENSP00000355652"
"ACSF2",-1.6486875616886,8.38925512511203,-10.0332350672258,3.69818249326044e-16,5.53223446441807e-13,26.3184547121524,"Down","9606.ENSP00000401831"
"HEPACAM2",-1.62990850469126,9.60617808222865,-3.85735198811017,0.000220157939142979,0.00112173569401211,0.121497698682925,"Down","9606.ENSP00000390204"
"PKIB",-1.60583270338699,9.49631990657695,-4.30229984250755,4.43168905420376e-05,0.00028840681753851,1.6342671370972,"Down","9606.ENSP00000480824"
"SATB2",-1.60144206058019,7.81507179188263,-7.10736687161498,3.1828821500221e-10,1.77776270208509e-08,13.0386189401771,"Down","9606.ENSP00000401112"
"SLC9A2",-1.59685790680593,6.21412060291316,-6.72572536547733,1.79979287531373e-09,6.71972584511892e-08,11.358241128667,"Down","9606.ENSP00000233969"
"PAQR5",-1.59036626183265,7.2758690164773,-8.34568759346372,1.0202864367532e-12,1.96238104727795e-10,18.6181548244498,"Down","9606.ENSP00000378803"
"HAVCR1",-1.58776851480542,4.56570904588391,-5.88841943662902,7.27202650124941e-08,1.32127127661162e-06,7.77939955272438,"Down","9606.ENSP00000344844"
"EPHX2",-1.5668541798878,8.50982657775941,-8.50839425698507,4.7581037830087e-13,1.1138382079074e-10,19.3597774909429,"Down","9606.ENSP00000430269"
"CDHR1",-1.56324107381518,6.47804612828116,-6.07273970784044,3.267578401143e-08,6.82692660551655e-07,8.55208444285089,"Down","9606.ENSP00000485478"
"SLC51B",-1.54659671107145,9.31451495927642,-4.11590767731622,8.78168857979817e-05,0.000516655243948849,0.987111934170121,"Down","9606.ENSP00000335292"
"TMED6",-1.54379592726967,6.74753047865835,-5.59689028519826,2.52754200362124e-07,3.75848343401305e-06,6.57802569082043,"Down","9606.ENSP00000288025"
"NEURL1B",-1.51861852916145,9.81947980433169,-8.48297175087685,5.36075968472239e-13,1.22185077652601e-10,19.2438327722548,"Down","9606.ENSP00000358815"
"PIGZ",-1.50917418697903,9.07494747222334,-6.44903530257574,6.21718061571373e-09,1.81650150828126e-07,10.1572625333948,"Down","9606.ENSP00000413405"
"DNAI4",-1.50717382826539,5.50663740121746,-7.97953107251574,5.65114908452796e-12,6.92929695670617e-10,16.9541627990729,"Down","9606.ENSP00000360065"
"TRPM6",-1.50268013003825,6.99946343378645,-5.323146065905,7.94799434639832e-07,9.66025688972951e-06,5.47566334123611,"Down","9606.ENSP00000354006"
"TSPAN7",-1.50093536501597,8.94710439424704,-6.12591978056546,2.58983741482243e-08,5.680680523089e-07,8.77676356956445,"Down","9606.ENSP00000367743"
"VIPR1",-1.48874017251496,8.35226065077631,-7.74778431474338,1.66184142588176e-11,1.65000264404251e-09,15.9058965571001,"Down","9606.ENSP00000327246"
"PRR15",-1.46819474799279,10.078204810853,-6.73850386417609,1.69904174115693e-09,6.42913956658016e-08,11.4140825581,"Down","9606.ENSP00000317836"
"SLC3A1",-1.46565785108871,6.24009215793767,-7.94087652853206,6.76707220395712e-12,7.78699144536378e-10,16.7790112454153,"Down","9606.ENSP00000260649"
"CKB",-1.46431689037811,11.393376059017,-5.26987920454962,9.9037053102408e-07,1.1574439763359e-05,5.26430220531025,"Down","9606.ENSP00000299198"
